"","Recorded_Date","Participant_ID","Lunch_SUD_Change","First_Patient","Tom_Actor_Name","Tom_Actor_Race","Freddie_Actor_Name","Tech_Difficulties","Pre_Debrief_Suspicion","Additional_Considerations","Tech_Difficulties_Order","Freddie_Actor_Race"
"11","2021-04-26 14:34:16","X06BAGR","No ","FREDDIE","JIM","(WHITE)","","FREDDIE","1. surveys - where to stop 2. very straightforward diagnoses, tom felt more hesitant about medical care and ambivalent about health, difficult patient  3. does repeated tell health visits lower stress? or patients that are more ambivalent like tom induce more stress, unlike freddie ","Participant had to leave because he connected on his phone, planning on coming back on his laptop, this was right before the first set of surveys. Participant answered questions ahead of time, confused on where to stop. Freddie was supposed to have tech issues, and did not.","First","(BLACK)"
"12","2021-04-27 15:42:38","LO1268BL","no","FREDDIE","DAVID","(BLACK)","","FREDDIE","1) At the end of their meeting with the first participant they were confused about whether to finish the interaction before or after they give treatment recommendations (I told them after), 2) no 3) how provider stress affects communication and patient care plans 3a) when asked the question","yes both actors found they were assigned NOT to have tech difficulties so neither did","First","(WHITE)"
"13","2021-04-28 12:37:14","RA12FIBL","No","FREDDIE","DAVID","(BLACK)","","FREDDIE","1. the survey - would have been better to have SECOND patient. Also, the faces were a bit hard to see during the bias portion.  2. implicit bias, but he saw it before he saw second patient. also technological challenge humps, whole new ballpark for all of us, knowing when to move on and not keep trying to teach people how to deal with technology. considering generational differences in technology. sensitivity in counseling is very important as well.  3. wouldn’t know, would have to look more about participants. probably focused on zoom creates challenges in navigating healthcare. by the sound of tom’s voice, he could make a guess on his race, and would he treat him differently. ","The student went through the first part of the study correctly, but then got confused during the state anxiety 2 measure and went all the way through the rest of the survey, up until the bias part. He put in his results for the first patient twice, once where he was supposed to and once for the second patient. Q260-Q266 he is talking about the first patient again. Freddie was supposed to experience tech issues, and did, but Tom experienced extreme tech issues as well. He joined on his phone, was muted for a long time, and did not turn on his video. ","First","(WHITE)"
"14","2021-04-29 14:56:31","X09XBR","no","TOM","DAVID","(BLACK)","","TOM","1. Everything was clear. 2. trouble with headphones; noticed that they were different races but similar ages, one had a common acute complaint and the other a longstanding problem. Noticed race during second patient exam. 3) looking at personality type and interactions with Telehealth. whether there's a relation between pre-interaction stress and outcomes, is there a correlation between post interview stress and outcomes.","Nothing odd! ","First","(WHITE)"
"15","2021-04-29 17:04:10","X07TRBR","no","FREDDIE","JIM","(WHITE)","","TOM","Noticed the tech manipulation, felt that Freddy was resistant, regurgitated the stated study intention when asked about hypotheses. Did not seem to predict racial manipulation, but when she saw the modern discrimination scale she said ""oh yes and racial disparities definitely"" Didn't occur until after the fact.","Freddy's phone rang","Second","(BLACK)"
"16","2021-04-30 18:50:29","EL0415BL","no","TOM","BILL","(WHITE)","","TOM","1) Yes, they were a bit confused about what the interaction should entail as sometimes they just discuss history while other times they talk about treatment recommendation with the patient 1a) before the first patient interview 2) No, just something about telehealth when she saw it in the email 3) How clinician's current mental state effects interactions during telehealth encounters. 3a) when taking the first survey about anxiety and how they are feeling ","She took a SUDs measure before I explained it (as it was changed about an hour prior), she ask about how she was a bit confused about how to conduct the patient interview after the first patient, and a dog was barking intermittently in James background","First","(BLACK)"
"17","2021-05-01 13:36:32","MA05BEHA","No","FREDDIE","RICHARD","(BLACK)","","TOM","not sure if it was telehealth at a clinic of telehealth from home; needed to ask certain questions to get certain things from them (e.g. colon cancer); better than normal patients, more forthcoming; is telehealth as thorough as in person care","The doctor was super long and thorough but nothing unexpected happened. Richard's first run but seemed to go well. ","Second","(WHITE)"
"18","2021-05-03 14:48:05","LA08HOBR","No","FREDDIE","JIM","(WHITE)","","TOM","1. she didn’t know if tom was supposed to be muted, forgot that this was telemedicine and became awkward, that was it  2. how do labs work with telemedicine and clinic visits, thought this when she wanted to give labs and couldn’t, had to figure out how to get them labs  3. the more stressed you are, the worse you do in telemedicine. the more confident you are the better the patient interaction becomes. thought this as she was chatting to the patients and before/after patients. ","Med student was confused on what her role was at the beginning of the study, but soon understood. Also confused on wording of bias portion of studies, especially on word “appear”. James/Freddie had a little bit of tech issues in the beginning (not turning his camera on or unmuting) but was able to get everything ready in less than a minute. ","Second","(BLACK)"
"19","2021-05-05 12:19:57","X03WABR","No ","FREDDIE","JIM","(WHITE)","","FREDDIE","1. for the second patient what type of appointment was it? more of a acute care setting.  2. both provided provider some stress, he was worried if they would follow up, both seemed hesitant to answer questions. had these thoughts as he was talking to them, both minimized their issues.  3. how does pre-interview mood affect stress levels and quality of care that they provide through telemedicine? thought this because of the surveys and the consent form. ","Freddie was supposed to have tech issues and did not. ","First","(BLACK)"
"20","2021-05-05 14:36:12","X0316BL","No","TOM","DAVID","(BLACK)","","FREDDIE","1. nothing confusing  2. first patient seemed very standard patient, second patient was older and more complex, trouble using telemedicine, gave provider more stress. started thinking this after looking at second patient’s chart.  3. certain medical visits are more stressful for providers ","N/A","Second","(WHITE)"
"21","2021-05-06 17:30:35","X1037BR","yes from 5 to 10","TOM","JIM","(WHITE)","","TOM","1) They said that they were unsure how specific to be with recommendations as well as how much background they should know because if it was a real encounter they would have dug deeper into history prior 1A) during the interviews 2) How they seemed less invested in their health 2a) when the Tom said he hadnt seen a doctor in 10 years and Freddy was resistant to diet change after previous reccomendations 3)providers who were more stressed wouldn't perform as well or miss aspects of the patients. 3a) from the first email describing to study. I dont think they knew the true study purpose","Right after being given her 1st patient she left the room because the police knocked at her door because her security system went off because of an open window. Freddy wasn't supposed to have technical difficulties, he unmuted asked if I (Katie) could hear him and then took about 30 seconds to turn his camera on. And she got a phone call and rejected it in the middle of the second patient encounter","First","(BLACK)"
"22","2021-05-07 17:32:04","MO10EIBR","no","TOM","BILL","(WHITE)","","TOM","1) She found the SUDs scale a bit confusing and she has never done a video call so she said some of the logistics were confusing. 1a) before and during the first meeting. 2) How the patients came off emotionally like how stand-offish or confused they were 2a) at the beginning of her encounter 3) When the personality type of the provider and patient are more similar there is less provider anxiety and give better recommendations 3a) when asked","She hasn't done clinical work in a year so that made her a bit anxious in the beginning. She mentioned how they were actors in between interactions so she seemed pretty aware of that. Richard again spoke with his video off then turned it on and had a bit of trouble leaving the meeting.","First","(BLACK)"
"23","2021-05-08 14:07:00","AN12EDBL","no","FREDDIE","RICHARD","(BLACK)","","TOM","Everything was clear; waiting for 2 very different appointment or some kind of difficulty in the second one because; noticed that the second patient was Black; talked about social determinants; curious about whether that was intentional...but wanted to put that out of my mind; seems like he noticed that the second patient was Black but didn't think anything of it until close to the end when Richard expressed uncertainty about COVID and DR got into a discussion of social determinants. Then he started examining differences and similarities between the patients and noticed that they were very similar except for race. Imagined hypothesis: Expected that one would be super stressful--that people with more extreme stress would be more stressed with stressful patients; that the encounter with the Black patient would be more stressful for people; Black patient mentioned something about social determinants and THATs when he thought it was race related","Tom was not pushing for a current checkup, asked to be scheduled for one in the future. ","Second","(WHITE)"
"24","2021-05-08 16:29:38","RO1119BR","no","FREDDIE","RICHARD","(BLACK)","","TOM","""are you worried?"" - unsure how to interpret. Always suspicious that there is info that won't be volunteered unless it's asked for - motivational interviewing for patient #1; #2 seemed straightforward; patient communication behavior study--people who rank their stress as high are more likely to be concerned about problems, order tests, etc. ","participant's internet failed half way through the patient exam; she had to reconnect with slower internet speed; broke up a lot in both exams; Tom said he had a colonoscopy; overall sort of a mess.","Second","(WHITE)"
"25","2021-05-12 12:51:58","CO06VEBR","No","TOM","JIM","(WHITE)","","FREDDIE","1. unclear about what the care setting was, was this the ER, primary care, etc., also wish she could have seen the patient chart during the examination. started thinking these things during the second patient visit when she didn’t know his blood pressure  2. first patient - interesting personality, didn’t care much about his health it seemed, difficult interaction. second patient - typical health screening, how to discuss making life style changes. started thinking this as soon as she started talking to first patient and during second patient interaction when she didn’t know blood pressure  3. thought the hypotheses were that providers who are more stressed before interactions might be more thrown during interactions. providers with less stress might be able to be more calm during interactions. thought this when she saw email about study.  ","Participant did take a small 1 minute break to see what room she had to be in, discussed study with her brother. “I’m in a study about how stressed you are”. ","Second","(BLACK)"
"26","2021-05-12 14:30:33","X117TBR","No","TOM","RICHARD","(BLACK)","","FREDDIE","1. no nothing confusing  2. didn’t seem like anything in particular  3. increased stress with increased complexity cases ","Richard said his mom died at age 75 2 years ago, and then also said he was currently 68, meaning his mom would have had him at age 9? might place some doubt on provider ","Second","(WHITE)"
"27","2021-05-15 14:00:36","KA02LABR","no","TOM","BILL","(WHITE)","","FREDDIE","Telehealth: difficult to get all the information needed. Tom would give few word answers. Could've gotten more information with a lung exam etc. Chief complaints are fair to do by Telehealth; usually older adults use Telehealth more often; how effective are Telehealth visits from the provider perspective","ugh forgot to record. Notes on what did or did not happen: TOM: heard about diarrhea but did not ask about colon screening. Tom was hesitant about follow up in person appointment but doctor pushed for that. Did not push for COVID test until patient refused to stay home from work on Monday. Freddy: a lot of focus on the diet stuff, thought exhaustion was d/t getting up to pee in the night. No questions about adherence. No help when muted. No conversation about changing meds, more focus on diet. Participant seems not to have completed pre-screen survey but I did not realize until it was too late; gave to them after IAT.","Second","(BLACK)"
"28","2021-05-15 16:16:17","AN0662BU","no","TOM","DAVID","(BLACK)","","FREDDIE","Instructions clear; Freddy chart issue. Missed the body language--wondered if there was something more going on with Tom that couldn't be read above neck. Wondering if Freddy was going to have something more severe happen. Can't think of anything that researchers would be particularly interested in. Hypotheses: Tom didn't fit COVID guidelines, would we be more apt to order a test without seeing someone in person. Freddy: limitations of Telehealth without a physical. Does that change what questions you ask or steps you order? People more willing to order tests or workup in telehealth - predicted by stress or insecurity of telehealth","Had a problem with Freddy's chart. Still could read but looked like a word doc","Second","(WHITE)"
"29","2021-05-18 15:25:46","X05XBR","no","TOM","RICHARD","(BLACK)","","TOM","1)She said it was clear but would have liked a little more room in the box to give treatment recommendations. 2) no 3) how people's different personalities affect how they differ in telehealth versus in clinic visits a) While doing the first post interview survey. -- I do not think they knew the true purpose of the study","no","First","(WHITE)"
"30","2021-05-18 17:23:16","X10GRHA","no","TOM","BILL","(WHITE)","","FREDDIE","1)yes it was clear 2) no 3) that provider empathy increases stress when interaction include the patient having scarier interpersonal conflicts a)throughout the study as it went on. -- I do not think she knew the true study purpose","no","Second","(BLACK)"
"31","2021-05-19 13:30:37","LE0924BI","No","TOM","DAVID","(BLACK)","","TOM","1. no  2. covid screening and patients with chronic health conditions who have had bad providers before. first patient when he first started talking but second patient when he talked about previous provider.  3. increased stress levels lead to less effective interactions. because of all the surveys about stress. ","No","First","(WHITE)"
"32","2021-05-20 16:16:31","HI04XBR","No","TOM","JIM","(WHITE)","","FREDDIE","Haven't done telemedicine, forgot that it wasn't just a role play - struggled. 2) how he has not accessed care in a while; could go really deep rather than stay with chief complaint; medications, no trouble standing--thought that chart was more severe than patient; one patient was resistant, one was willing to follow up on care. How does patient willingness affect quality of care? How can the provider engage patients based on personalities?","Tom said he didn't have any GI symptoms. ","Second","(BLACK)"
"33","2021-05-22 13:25:23","AI1121BR","no","FREDDIE","BILL","(WHITE)","","FREDDIE","Freddy had uncontrolled diabetes, barriers to management, resistant...hard to get him to come in, had a lot of other screening stuff; length of time since saw provider. Hard to guess hypotheses...Biases towards care with patients of different races. Had this thought when interacting with Freddy and Tom. Doesn't seem like a thought at the front of his awareness (not mentioned at all until the very last question) but is a thought he had throughout the study.","Freddy said no colon cancer screening","First","(BLACK)"
"34","2021-05-25 15:30:08","BA0433BL","no","TOM","RICHARD","(BLACK)","","FREDDIE","1) everything was clear except whether they were meant to discuss treatment plan with patients. 2) how the patients may have had to help guide/remind providers to stay on task or talk about certain things during the visit 2a) as the first patient asked her if there were any other concerns besides what she was talking about. 3) if providers are more stressed they may be more focused on the specific problem or straight forward and take less time to talk/chat with the patient. 3a) as she was reading about the study purpose.- I do not think she knew the true study purpose","Richard playing Tom began to talk before he was unmuted but quickly fixed it himself and took a little long to leave, though he was not meant to have tech issues.","Second","(WHITE)"
"35","2021-05-26 12:19:49","SA0575GR","No","TOM","DAVID","(BLACK)","","FREDDIE","1. everything clear  2. acute vs chronic, thought that when she saw their chief concerns  3. not sure, maybe comparing time it takes to see chronic vs acute, thought that when i prompted ","Participant had to wait for 5 minutes because first patient came a little late. ","Second","(WHITE)"
"36","2021-05-28 17:13:00","MA12ELBL","no","FREDDIE","BILL","(WHITE)","","TOM","1) everything was clear 2) how misinformed patients were and death anxiety of patients. 2a) as the freddy brought up death anxiety and Tom mentioned misinformation about Covid and the Vaccine 3) providers stress levels increase when controversial topics are brought up by patients 3a) as Tom started talking about Covid misinformation. I dont think she knew the true study purpose","Richard did not turn on his camera so she did not know his race and also this implies tech difficulties which he wasnt supposed to have, so this data is likely unusable","Second","(BLACK)"
"37","2021-05-29 16:03:57","RE06TWBL","n/a","FREDDIE","DAVID","(BLACK)","","TOM","how full the appointment is supposed to be; second was most concerning for the alcohol use; people are less comfortable talking about alcohol use; mentioned tech trouble of Freddy; medical students would have increased anxiety/hesitancy talking about difficult subject on Telehealth.","no! ","Second","(WHITE)"
"38","2021-06-09 12:21:58","AN12LABR","No","TOM","RICHARD","(BLACK)","","FREDDIE","1. nothing  2. getting onto the visits itself and their age (both elderly). thought this after the first patient seemed to have a lot of tech issues 3. seeing a distressed patient who couldn’t communicate would cause stress in the provider. thought this after she saw the second patient struggle. ","Richard/Tom had tech issues as well, but they did not appear to be on purpose. Said “I wasn’t supposed to have tech problems today!” but that didn’t seem to give anything away about the study ","Second","(WHITE)"
"39","2021-06-09 14:40:34","BA11ANBR","No","FREDDIE","RICHARD","(BLACK)","","TOM","1. nothing  2. first patient - dietary intake and lifestyle modification. second patient - covid fears, alcohol intake, screening tests and reestablishment of care. started thinking this after seeing the charts and hearing about not seeing the doctor after 10 years.  3. asking patients about their lifestyle, providers who are more calm might be more prone to asking questions about care. another hypothesis might be providers might get nervous after asking hard questions about care. started thinking this after talking to patients. ","The patient mentioned the provider was breaking up a bit but the issue was fixed quickly after the provider changed WiFis. ","Second","(WHITE)"
"40","2021-06-21 11:51:18","JE11WIBL","No ","","",NA,"","","Participant did not end up seeing either patient. ","","First",NA
"41","2021-06-29 11:11:18","GI11WIBI","No","TOM","DAVID","(BLACK)","","FREDDIE","1. no  2. conditions were probably the highlight. first patient gave off short answers and second patient gave longer answers. thought this pretty early on.  3. higher stress person will interact with a patient differently ","1. While I was trying to type “yes” in the coding sheet I accidentally sent it in the zoom chat, and the medical student noticed, but didn’t question it. 2. i leaned on the space bar and a podcast started playing for a second while i was thanking her for telling me about her experiences with the study. PARTICIPANT ENTERED ID WRONG, SHOULD BE JE11WIBL","Second","(WHITE)"
"42","2022-02-15 20:38:46","","","","",NA,"","","","","First",NA
"43","2022-03-09 10:18:57","","","","",NA,"","","","","First",NA
"44","2022-03-23 11:25:55","CCCC","No","FREDDIE","BILL","(WHITE)","","FREDDIE","They don't seem to have known the true study purpose, and didn't consider a hypothesis until I prompted them to guess one.","Nothing odd happened during the study to my knowledge. ","First","(BLACK)"
"45","2022-03-23 11:26:03","CCCC","No- was 35 (in range)","FREDDIE","BILL","(WHITE)","","FREDDIE","Participant said everything was outlined very clearly. Noticed one patient was more friendly than the other. Hypothesized that the friendly patients would make med students less anxious. Didn't know the true study purpose. ","No","First","(BLACK)"
"46","2022-04-01 13:29:33","RA01BEHA","No","FREDDIE","JIM","(WHITE)","DAVID","TOM","1) Felt easier with the second one because I didn't know what to do in the first one. 2) personalities were different, he was more gruff; made this discovery after the second patient. 3) Hypotheses were how an MD's personality adjusts to different personalities in a virtual setting; this suspicion with the second patient. ","Davids wifi cut off for a second, this led him to freezing on the screen. The MD consulted me via chat, but I did not respond. So, both patients had technical difficulties. MD does not believe she performed correctly with the first patient; wishes there was more instruction. ","Second","(BLACK)"
"47","2022-04-04 12:02:22","NA10BUBR","no","FREDDIE","DAVID","(BLACK)","VID","FREDDIE","1. no 2. no 3. certain provider personality traits like self confidence make providers less stressed especially with more complex cases. ","","First","(WHITE)"
"48","2022-04-04 13:56:39","X07LABR","no","TOM","VID","(WHITE)","DAVID","FREDDIE","1. no 2. no 3. how physician stress and anxiety and emotional status affects their conversation during telehealth visits. maybe providers who are more stressed will have worse recommendations and interactions.","","Second","(BLACK)"
"49","2022-04-04 16:53:37","LO0114GR","They answered with an 8. After pushing back slightly, they kept it at an 8 and said they wouldn't go any higher than a 10 for lunch.","FREDDIE","RICHARD","(BLACK)","JIM","TOM","1. They thought it was off not knowing what the setting of the visit was (Urgent care vs. family medicine). 2. They believed that the standardized patients were trying to induce doubt in the provider by asking “anything else?” at the end of each visit. 3. They believe the hypothesis is the providers will have higher baseline anxiety in telehealth visits compared to in-person.","The RA lost power during the 2nd patient interaction with Tom. I notified Katherine right away and she hopped on the Zoom, but there were no research personnel in the call for ~1.5minutes. ","Second","(WHITE)"
"50","2022-04-04 18:31:17","TH02NEBR","No, they answered a 20 which is in range.","TOM","JIM","(WHITE)","RICHARD","FREDDIE","1. Everything was clear. 2.Believes we were interested in the patient demographic, personality, and engagement with the medical system. Specifically their presenting symptoms and medical history. 3.Hypothesizes that provider stress/mood would positively or negatively impact the treatment plan and patient outcome.","Richard (Freddie) was in the waiting room and left right before he was meant to be admitted so I gave the participant Tom's chart and admitted Tom first. However, the 1st  pre-interaction survey was already filled out for Freddie's chart (meaning no pre-interaction survey for Tom and 2 for Freddie).  ","Second","(BLACK)"
"51","2022-04-09 12:31:45","SP07POBR","No, they answered as a 15 which is in range.","TOM","BILL","(WHITE)","RICHARD","FREDDIE","1. No, just clarifying question with relationship to patients and setting. 2. Personality due to psych study and maybe the dynamic between patient and provider. 3. The use of telehealth increases stress for not only providers but patients and was suspected when asked to report stress.","Tom had slight unplanned tech difficulties as well. Dr. took very long during Freddy meeting and Freddy left to use the restroom during the meeting.","Second","(BLACK)"
"52","2022-04-14 12:38:07","AN0662BL","no","TOM","VID","(WHITE)","KORVUS","TOM","1. no 2. patients personality differences. second guy was much more personable and first patient was very guarded. First patient would have been better in person for body language; this is something you lose with telemedicine. first individual was white and second was african american. 3.  how much depth does provider go into in terms of asking questions and how much perspective do they get on a patient. additionally if there is a difference in treatment recommendations. She correctly guessed that we were studying race. ","","First","(BLACK)"
"53","2022-04-20 11:05:48","JU06RAGR","no","FREDDIE","VID","(WHITE)","KORVUS","FREDDIE","1. no 2. freddie easier to interact with and discuss things with, he was more forthcoming with information. freddie was a chronic condition and tom an acute condition.  3. how provider interacts with different types of patient personalities. how provider interacts with different races (noticed that one patient was african american and one caucasian). how much info provider can gather from patient based on provider and patient personality. ","","First","(BLACK)"
"54","2022-04-20 12:05:21","DU05ONHA","no","TOM","KORVUS","(BLACK)","VID","FREDDIE","1. no 2. expecting a really difficult patient but both were easy going 3. thinks there was an interest in patient personality and stress of provider. Easier and more likable patients induce less stress in providers. ","participant struggled a little to understand the instructions of the implicit bias test and what to click when; unsure if this affected initial performance but she seemed to get the hang of it once she started","Second","(WHITE)"
"55","2022-04-27 13:43:01","RO0824HA","no","FREDDIE","DAVID","(BLACK)","VID","FREDDIE","1. no 2. differences in chronic vs acute; difference demographic backgrounds with family vs gf and white vs black. one more talkative and one very close ended 3. telehealth detracts from full exams and complete interactions and as a result amplifies differences in patients with different backgrounds, demographics, and conditions. (while he gave a lot of guesses and noticed a lot of things I do think he had suspicions that race was our primary interest factor). ","","First","(WHITE)"
"56","2022-04-29 17:30:37","KA10NEBL","no","TOM","DAVID","(BLACK)","JIM","TOM","1. Everything was clear and straightforward. 2. Both patients were elderly men; they tend to me more technology adverse. Care delivery and follow-through of virtual visits - hidden challenge of wifi, and technological access. How to make technology more available to resource limited people for appointments. 3. Physicians mood may be impacted broadly by telehealth encounters. Getting better understanding of physician stress with telemedicine visits to see how to support them.  ","Nope! Everything in the study went normally. ","First","(WHITE)"
"57","2022-04-29 18:51:23","X1124BR","No","FREDDIE","DAVID","(BLACK)","JIM","TOM","1. Last patient didn't know his birthday and it didn't match the system. 2. Believes their race may be studied, realized this when the patient said that they hadn't been to the doctor in 10 years. 3. Studying providers mood and mental state and how that correlates with treating patients. ","The provider is a first year medical student... I am not sure if they are allowed (I thought it was only 3rd and 4th years.) Also, one patient couldn't confirm their birthdate, and the provider was hesitant about continuing care because it did not match up on the chart. ","Second","(WHITE)"
"58","2022-04-30 13:35:08","MA0521BR","No, they answered 25 which is in range","FREDDIE","RICHARD","(BLACK)","BILL","TOM","1. Yes, discrepancies with information in chart vs patients answers which is common in healthcare so it isn’t much of a concern. 2. Tom was reserved and freddy wasn’t and that makes me think you’re interested in their personality and outcome of care. 3. The more information you have, the less stressed the provider will be during an encounter in a telehealth visit with established patients vs new patients. ","Medical student is a 1st year! Freddy's (Bill's) background fell down in the middle of his interaction. Med student treated it as a medical student working with attending rather than a primary provider.","Second","(WHITE)"
"59","2022-05-02 12:30:54","LY01NAHA","no","TOM","KORVUS","(BLACK)","VID","FREDDIE","1. no 2. patients had potentially stress inducing conditions for providers -- namely being anti-vax and then being hesitant to make any changes to improve condition 3. stressed providers take less time and spend less time with patients and have less of a relationship","","Second","(WHITE)"
"60","2022-05-02 16:47:06","LO09SIHA","No, she answered 20 which is in range","FREDDIE","JIM","(WHITE)","RICHARD","FREDDIE","1. Everything was clear. 2. The second patient had no healthcare initiative. 3. People who have more open demeanor will have a better outcome in terms of coming to agreement with patient about treatment.","No","First","(BLACK)"
"61","2022-05-02 18:29:41","JO04FUHA","No, they answered 22 which is in range","FREDDIE","JIM","(WHITE)","RICHARD","TOM","1. Everything was clear. 2. How to deal with frustrations in telemedicine. 3. Med students in telehealth will have stress and struggle with difficult patient scenarios regardless of personality.","Participant mentioned that he has struggles with anxiety disorder. ","Second","(BLACK)"
"62","2022-05-03 18:43:40","SM06LIBL","no","TOM","DAVID","(BLACK)","BILL","TOM","everything clear; recommendation - time frame idea for an appointment would be helpful. no recent screening; thought the audio was intentional. Attitudes and thoughts going into it impact patient experiences and outcomes.  ","Freddy was muted too ","First","(WHITE)"
"63","2022-05-03 19:51:04","MI10DABL","n/a","FREDDIE","BILL","(WHITE)","DAVID","TOM","instructions clear, thought the gunshots were part of the study, patient 1 rocking back and forth, wiping face, anxiety. challenges of telehealth, tech difficulties. Hypothesis: providers prone to anxiety leading up would be more challenged over zoom, harder to develop rapport","probable gunshots during Freddy's visit","Second","(BLACK)"
"64","2022-05-04 10:58:50","X03LIBR","no","FREDDIE","VID","(WHITE)","KORVUS","TOM","1. no 2. reoccurring topic of both patients being here because of their wives/gfs. its hard to built a relationship with the patient when the patient doesn't want to be there 3. the more complex the patient is and the harder it is to build a relationship with them, the harder it is to build a relationship and the harder it is to treat them","the second patient, tom/vid was REALLY harsh towards the provider which I think really threw them off. I think the last set of surveys really threw him off as well because race was not at all on his radar and he was struggling to understand the strongly agree/strongly disagree questions and i think was very flustered after the second interaction with tom","Second","(BLACK)"
